City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,23.0,46.0,,866.0,16.9,,,866,Hazardous,,,2026-07-30T01:59:55.319301
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,25.0,51.3,80.0,55.0,7.5,,,80,Moderate,,,2026-07-30T02:00:01.686093
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,20.5,63.0,80.0,64.0,8.1,9.6,,80,Moderate,,,2026-07-30T02:00:06.320076
"Pastora, Nuevo Leon, Mexico",Mexico,25.6717286,-100.2231895,10.2,54.0,71.0,35.0,5.9,5.2,5.9,71,Moderate,,,2026-07-30T02:00:12.686686
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,33.6,46.0,70.0,35.0,4.9,6.3,2.7,70,Moderate,,,2026-07-30T02:00:16.321510
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,23.0,46.0,65.0,66.0,,0.1,2.3,66,Moderate,,,2026-07-30T02:00:21.687200
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,38.0,27.0,65.0,39.0,5.2,9.3,9.2,65,Moderate,,,2026-07-30T02:00:25.322094
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,33.8,51.5,65.0,50.0,4.5,,2.6,65,Moderate,,,2026-07-30T02:00:28.687732
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,33.6,46.0,63.0,31.0,2.5,5.8,7.9,63,Moderate,,,2026-07-30T02:00:31.688475
"San Juanico, Mexico",Mexico,20.537489,-100.839905,21.0,66.4,63.0,54.0,,,11.5,63,Moderate,,,2026-07-30T02:00:35.322664
"San Luis De La Paz Presidencia Municipal, Mexico",Mexico,21.295861111111,-100.52330555556,20.5,63.1,63.0,,,,,63,Moderate,,,2026-07-30T02:00:38.688567
"Bomberos, Mexico",Mexico,20.67495,-101.355873,21.0,66.0,62.0,19.0,,16.0,,62,Moderate,,,2026-07-30T02:00:41.688608
"Irapuato Bomberos, Irapuato, Mexico",Mexico,20.674779695762,-101.35569204208,21.0,66.0,62.0,19.0,,16.0,,62,Moderate,,,2026-07-30T02:00:45.323287
"Celaya San Juanico, Celaya, Mexico",Mexico,20.537937144279,-100.84064845752,20.5,63.0,62.0,53.0,,,7.8,62,Moderate,,,2026-07-30T02:00:48.689175
"Hospital General, Mexico",Mexico,20.947924,-101.425774,21.0,66.0,61.0,26.0,4.4,5.9,12.2,61,Moderate,,,2026-07-30T02:00:51.689451
"Nativitas, Mexico",Mexico,20.565231,-101.188248,21.0,66.0,,34.0,6.1,5.4,6.5,61,Moderate,,,2026-07-30T02:00:55.324215
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-07-30T02:01:16.325521
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.6,85.5,9.0,,,,,-,,,,2026-07-30T02:01:37.326751
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-07-30T02:01:55.327949
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-07-30T02:01:58.694667
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,26.6,85.5,,,,,,-,,,,2026-07-30T02:02:33.330846
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-07-30T02:03:07.333208
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.2,72.0,46.0,,,1.2,14.1,46,Good,,,2026-07-30T02:04:29.340023
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,18.0,56.3,34.0,20.0,,,,34,Good,,,2026-07-30T02:05:05.342926
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,15.9,61.0,25.0,6.0,3.9,0.6,3.2,25,Good,,,2026-07-30T02:05:40.345758
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.2,65.0,25.0,8.0,7.1,0.3,3.4,25,Good,,,2026-07-30T02:06:13.348006
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,15.0,61.6,25.0,17.0,9.3,0.6,12.6,25,Good,,,2026-07-30T02:06:46.350360
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.5,67.7,20.0,23.0,5.4,0.2,2.4,23,Good,,,2026-07-30T02:07:19.352841
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,15.0,64.0,19.0,7.0,9.0,1.2,5.4,19,Good,,,2026-07-30T02:07:52.355875
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,16.58,34.0,56.0,31.0,27.6,6.8,3.7,56,Moderate,,,2026-07-30T02:08:26.358332
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,16.83,34.0,46.0,31.0,22.9,3.5,5.9,46,Good,,,2026-07-30T02:08:59.360890
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,16.58,34.0,45.0,31.0,29.0,3.1,10.2,45,Good,,,2026-07-30T02:09:32.363466
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,20.2,34.0,,,18.8,5.2,5.9,26,Good,,,2026-07-30T02:10:05.366422
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,18.72,30.0,56.0,,14.5,0.5,7.5,56,Moderate,,,2026-07-30T02:10:38.369121
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-07-30T02:11:11.371512
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-07-30T02:11:44.375023
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-07-30T02:12:17.376480
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,20.88,34.0,28.0,31.0,15.1,2.7,,30,Good,,,2026-07-30T02:12:50.378907
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,18.56,34.0,41.0,31.0,15.8,3.3,6.2,41,Good,,,2026-07-30T02:13:25.382221
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,20.7,87.0,82.0,31.0,15.0,9.3,12.8,82,Moderate,,,2026-07-30T02:13:59.383874
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,20.7,87.0,79.0,53.0,16.4,50.8,3.8,79,Moderate,,,2026-07-30T02:14:32.386354
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,20.7,87.0,77.0,32.0,18.7,9.0,12.2,77,Moderate,,,2026-07-30T02:15:05.388633
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,20.7,87.0,75.0,32.0,12.3,6.3,6.2,75,Moderate,,,2026-07-30T02:15:38.390931
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,20.7,87.0,57.0,21.0,11.4,15.3,22.1,57,Moderate,,,2026-07-30T02:16:11.393491
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,20.7,87.0,,39.0,14.8,,13.4,39,Good,,,2026-07-30T02:16:44.395843
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-07-30T02:17:17.398090
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-07-30T02:17:50.400531
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-07-30T02:18:23.402557
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,20.7,87.0,,,16.1,5.4,7.6,8,Good,,,2026-07-30T02:18:56.404875
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,20.7,87.0,61.0,,11.9,4.8,10.6,61,Moderate,,,2026-07-30T02:19:29.407181
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,33.8,46.275,98.0,49.0,4.5,2.5,,49,Good,,,2026-07-30T02:20:04.409446
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-07-30T02:20:37.412049
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-07-30T02:21:22.415519
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,,,2026-07-30T02:21:55.417862
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-07-30T02:22:28.420468
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,-7.0,85.0,227.0,107.0,,4.5,30.9,227,Poor,,,2026-07-30T02:23:39.425605
"Nueva Libertad, Chile",Chile,-36.735998,-73.118693,11.0,93.0,194.0,104.0,22.7,6.8,18.3,194,Poor,,,2026-07-30T02:24:14.427901
"Mirasol, Chile",Chile,-41.4795069236,-72.968755930145,5.0,100.0,165.0,,,,,165,Poor,,,2026-07-30T02:24:52.430570
"Osorno, Chile",Chile,-40.584478665958,-73.11871982209,5.0,93.0,162.0,58.0,,,,162,Poor,,,2026-07-30T02:25:28.433468
"Linares, Chile",Chile,-35.836942234921,-71.592865853985,11.0,93.0,158.0,,,,,158,Poor,,,2026-07-30T02:26:03.436140
"U.C. Maule, Chile",Chile,-35.435725588722,-71.619553864003,14.0,76.0,157.0,74.0,,,,157,Poor,,,2026-07-30T02:26:36.438307
"La Florida 2, Chile",Chile,-35.435141887663,-71.678261499336,14.0,76.0,157.0,70.0,12.9,3.5,16.2,157,Poor,,,2026-07-30T02:27:11.441048
"Coyhaique, Chile",Chile,-45.57996447948,-72.061125987766,-7.0,85.0,154.0,55.0,,,,154,Poor,,,2026-07-30T02:27:46.443439
"Consultorio - San Vicente, Chile",Chile,-36.723695141848,-73.123658865174,11.0,93.0,153.0,55.0,14.1,2.3,,153,Poor,,,2026-07-30T02:28:19.445930
"El Bosque, Chile",Chile,-33.547099645619,-70.666204101852,13.0,82.0,151.0,138.0,33.6,6.0,15.3,151,Poor,,,2026-07-30T02:28:52.448259
"Las Encinas Temuco, Chile",Chile,-38.74869912298,-72.620788228172,9.9,95.4,89.0,34.0,,,2.3,89,Moderate,,,2026-07-30T02:29:25.450916
"Cerro Navia, Chile",Chile,-33.433089610143,-70.732147868717,13.0,82.0,139.0,133.0,35.4,,14.4,139,Poor,,,2026-07-30T02:29:58.453244
"Centenario, Buenos Aires, Argentina",Argentina,-34.635582,-58.5518647,16.8,73.8,,21.0,6.0,,6.8,-,,,,2026-07-30T02:30:32.455901
"Cordoba, Buenos Aires, Argentina",Argentina,-34.5995674,-58.3915767,16.6,85.0,,25.0,6.9,,13.2,-,,,,2026-07-30T02:31:05.458274
"La boca, Buenos Aires, Argentina",Argentina,-34.6344961,-58.3631337,16.6,85.0,,21.0,11.5,,6.0,-,,,,2026-07-30T02:31:38.460896
"US Embassy, Buenos Aires, Argentina",Argentina,-34.5773,-58.4176,25.0,72.9,5.0,,,,,5,Good,,,2026-07-30T02:32:13.463095
"Dock Sud 1, Acumar, Argentina",Argentina,-34.657988,-58.342538,23.8,65.3,,,,,,-,,,,2026-07-30T02:32:46.465283
"La Matanza, Acumar, Argentina",Argentina,-34.6775885,-58.701767,20.2,88.8,,,,,,-,,,,2026-07-30T02:33:19.467198
"Argentina, Asturias, Spain",Argentina,43.53880000013,-5.6989000001636,20.2,85.2,57.0,29.0,2.8,4.6,0.1,57,Moderate,,,2026-07-30T02:33:52.469308
