City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,22.0,73.0,91.0,55.0,27.4,2.8,18.6,91,Moderate,,,2026-09-23T03:04:08.832203
"San Juanico, Mexico",Mexico,20.537489,-100.839905,26.2,40.4,76.0,49.0,6.4,4.4,6.3,76,Moderate,,,2026-09-23T03:04:15.782901
"Hospital General, Mexico",Mexico,20.947924,-101.425774,18.4,79.2,69.0,31.0,2.7,4.6,13.6,69,Moderate,,,2026-09-23T03:04:22.834105
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,22.0,73.0,65.0,35.0,13.2,2.6,10.0,65,Moderate,,,2026-09-23T03:04:29.784444
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,22.0,73.0,65.0,35.0,9.6,2.6,8.2,65,Moderate,,,2026-09-23T03:04:32.834511
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,22.0,73.0,65.0,35.0,18.4,2.6,12.9,65,Moderate,,,2026-09-23T03:04:36.217685
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,19.2,77.0,63.0,52.0,0.1,0.1,0.6,63,Moderate,,,2026-09-23T03:05:09.839243
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,22.0,73.0,61.0,54.0,20.2,1.2,10.8,61,Moderate,,,2026-09-23T03:05:44.482048
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,22.0,73.0,59.0,37.0,16.2,2.6,8.9,59,Moderate,,,2026-09-23T03:06:22.489374
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-09-23T03:07:00.873336
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,22.2,97.7,9.0,,,,,-,,,,2026-09-23T03:07:36.877672
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-09-23T03:08:10.507755
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-09-23T03:08:43.513400
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.2,97.7,,,,,,-,,,,2026-09-23T03:09:18.523684
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-09-23T03:09:53.530153
