City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,23.0,73.0,117.0,12.0,,,,117,Poor,,,2026-07-15T02:01:52.978328
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,31.1,43.3,93.0,38.0,5.3,4.9,12.0,93,Moderate,,,2026-07-15T02:01:56.106064
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,30.9,43.2,88.0,35.0,4.3,7.9,6.2,88,Moderate,,,2026-07-15T02:01:59.212041
"T-21, Mexico",Mexico,21.108664,-101.688614,27.0,34.0,81.0,39.0,,3.5,10.8,81,Moderate,,,2026-07-15T02:02:04.172866
"Nativitas, Mexico",Mexico,20.565231,-101.188248,21.8,57.4,,31.0,4.5,,79.1,79,Moderate,,,2026-07-15T02:02:07.981252
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,47.0,24.6,76.0,40.0,1.6,,34.8,76,Moderate,,,2026-07-15T02:02:13.109664
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,23.0,73.0,73.0,31.0,6.8,0.8,4.7,73,Moderate,,,2026-07-15T02:02:17.984656
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,23.0,73.0,72.0,52.0,11.6,1.8,5.6,72,Moderate,,,2026-07-15T02:02:21.215456
"San Juanico, Mexico",Mexico,20.537489,-100.839905,25.7,42.1,71.0,56.0,,,6.7,71,Moderate,,,2026-07-15T02:02:24.110480
"Irapuato Bomberos, Mexico",Mexico,21.118055555556,-101.60216666667,25.7,42.1,70.0,47.0,5.3,24.3,13.9,70,Moderate,,,2026-07-15T02:02:28.987423
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,20.0,37.0,70.0,38.0,6.6,6.4,14.4,70,Moderate,,,2026-07-15T02:02:32.216919
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,23.0,73.0,68.0,31.0,6.8,2.9,7.2,68,Moderate,,,2026-07-15T02:02:37.113156
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,23.0,73.0,68.0,49.0,10.9,2.9,4.2,68,Moderate,,,2026-07-15T02:02:41.989766
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,31.1,43.3,68.0,19.0,9.6,4.5,7.4,68,Moderate,,,2026-07-15T02:02:45.114398
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-07-15T02:02:50.994424
