City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,35.0,21.5,68.0,229.0,4.9,,3.6,229,Poor,,,2026-06-18T03:32:52.100970
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,23.0,60.0,102.0,38.0,13.0,3.1,15.2,102,Poor,,,2026-06-18T03:32:55.617474
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,29.0,83.0,76.0,30.0,18.0,3.3,11.7,76,Moderate,,,2026-06-18T03:33:02.102410
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,20.0,69.0,68.0,10.0,18.8,,,68,Moderate,,,2026-06-18T03:33:08.618892
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,31.1,57.0,61.0,26.0,8.3,4.2,8.4,61,Moderate,,,2026-06-18T03:33:15.103771
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,20.0,69.6,59.0,6.0,0.1,0.1,2.9,59,Moderate,,,2026-06-18T03:33:18.162636
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,16.9,75.5,58.0,48.0,11.7,3.7,7.0,58,Moderate,,,2026-06-18T03:33:21.620625
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,27.2,39.0,35.0,58.0,,,,58,Moderate,,,2026-06-18T03:33:25.104603
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,18.8,73.8,1.0,55.0,,,,55,Moderate,,,2026-06-18T03:33:29.621777
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,20.0,71.7,55.0,27.0,7.6,6.4,10.8,55,Moderate,,,2026-06-18T03:33:36.105728
"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico",Mexico,19.317583333333,-98.237305555556,29.0,83.0,54.0,20.0,,,,54,Moderate,,,2026-06-18T03:33:39.622669
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-06-18T03:33:47.107838
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,73.0,9.0,,,,,-,,,,2026-06-18T03:33:52.624630
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-06-18T03:33:56.165673
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-06-18T03:33:59.113563
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,86.3,,,,,,-,,,,2026-06-18T03:34:03.626214
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-06-18T03:34:08.114878
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,14.1,100.0,63.0,,,1.2,12.7,63,Moderate,,,2026-06-18T03:34:41.120583
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.2,76.0,49.0,11.0,6.6,0.5,6.2,49,Good,,,2026-06-18T03:34:59.123187
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,11.0,86.0,38.0,10.0,0.3,0.6,8.2,38,Good,,,2026-06-18T03:35:03.637426
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,11.4,84.0,34.0,15.0,3.3,0.6,3.4,34,Good,,,2026-06-18T03:35:07.173311
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,12.0,76.0,34.0,21.0,8.1,1.3,9.6,34,Good,,,2026-06-18T03:35:10.125403
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,13.8,71.0,30.0,5.0,5.1,,3.9,30,Good,,,2026-06-18T03:35:16.639560
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,12.0,83.0,30.0,9.0,4.6,0.4,,30,Good,,,2026-06-18T03:35:19.671867
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,11.79,93.0,58.0,,27.5,5.5,12.0,58,Moderate,,,2026-06-18T03:35:25.127290
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,18.72,30.0,56.0,,14.5,0.5,7.5,56,Moderate,,,2026-06-18T03:35:28.235199
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,11.4,93.0,42.0,,33.8,5.6,17.5,42,Good,,,2026-06-18T03:35:31.996086
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,14.09,93.0,,,22.6,8.3,15.1,3,Good,,,2026-06-18T03:35:35.466969
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,11.4,93.0,4.0,,26.0,2.7,9.9,2,Good,,,2026-06-18T03:35:39.236071
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-06-18T03:35:42.997288
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-06-18T03:35:46.237533
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-06-18T03:35:49.468409
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,14.57,93.0,41.0,,17.5,4.0,,41,Good,,,2026-06-18T03:35:52.998740
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,12.54,93.0,67.0,,23.4,4.4,9.4,67,Moderate,,,2026-06-18T03:35:57.452443
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,21.1,82.0,78.0,34.0,4.0,6.9,8.9,78,Moderate,,,2026-06-18T03:36:01.240997
