City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,24.0,64.0,158.0,72.0,26.8,2.4,20.6,158,Poor,,,2026-06-27T02:46:00.974713
"CICEG, Mexico",Mexico,21.10343,-101.636345,19.6,74.0,98.0,34.0,5.0,6.8,16.3,98,Moderate,,,2026-06-27T02:46:06.447463
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,24.0,64.0,81.0,35.0,,,,81,Moderate,,,2026-06-27T02:46:09.978001
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,24.0,64.0,76.0,30.0,15.0,2.8,9.6,76,Moderate,,,2026-06-27T02:46:13.038913
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,24.0,64.0,72.0,59.0,11.8,4.2,6.3,72,Moderate,,,2026-06-27T02:46:22.981864
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,30.1,55.6,72.0,35.0,2.4,4.2,7.8,72,Moderate,,,2026-06-27T02:46:26.455219
"Centro, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.652227777778,-106.08535833333,28.8,38.0,45.0,67.0,5.6,0.1,2.8,67,Moderate,,,2026-06-27T02:46:32.991076
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,24.0,64.0,63.0,40.0,18.9,0.9,8.8,63,Moderate,,,2026-06-27T02:46:42.988879
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,24.0,64.0,63.0,38.0,17.4,2.8,9.1,63,Moderate,,,2026-06-27T02:46:46.464362
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,24.0,64.0,63.0,30.0,21.7,2.8,15.0,63,Moderate,,,2026-06-27T02:46:50.050662
