City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,14.1,77.5,97.0,100.0,7.2,3.1,5.5,100,Moderate,,,2026-05-03T02:34:27.297853
"Hospital General, Mexico",Mexico,20.947924,-101.425774,20.9,51.6,96.0,77.0,3.2,3.4,5.3,96,Moderate,,,2026-05-03T02:34:30.924489
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,29.0,30.0,95.0,,,,2.4,95,Moderate,,,2026-05-03T02:34:34.741375
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,18.0,85.0,56.0,10.9,3.4,9.8,85,Moderate,,,2026-05-03T02:34:46.300318
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,25.0,26.0,85.0,30.0,7.4,,,85,Moderate,,,2026-05-03T02:34:49.932764
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,23.2,45.6,82.0,,16.9,2.3,10.8,82,Moderate,,,2026-05-03T02:34:57.746120
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,18.0,81.0,69.0,4.7,3.2,5.6,81,Moderate,,,2026-05-03T02:35:06.303924
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-05-03T02:35:14.304783
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.4,79.0,9.0,,,,,-,,,,2026-05-03T02:35:20.939211
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-05-03T02:35:24.749995
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-05-03T02:35:28.306349
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,24.4,79.0,,,,,,-,,,,2026-05-03T02:35:32.941414
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-05-03T02:35:37.308657
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.4,62.4,65.0,82.0,,,,82,Moderate,,,2026-05-03T02:36:11.311519
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,14.9,100.0,61.0,,,1.3,15.7,61,Moderate,,,2026-05-03T02:36:17.950621
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,78.4,56.0,22.0,9.0,1.1,13.6,56,Moderate,,,2026-05-03T02:36:27.313431
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.7,78.4,51.0,17.0,7.5,0.5,12.7,51,Moderate,,,2026-05-03T02:36:33.952827
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,17.5,67.0,48.0,20.0,6.6,0.5,6.0,48,Good,,,2026-05-03T02:36:42.315683
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,12.6,79.0,46.0,37.0,4.1,0.8,8.2,46,Good,,,2026-05-03T02:36:45.954681
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,76.0,42.0,11.0,4.3,0.3,,42,Good,,,2026-05-03T02:36:50.762619
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,15.98,72.0,65.0,,30.5,3.4,13.2,65,Moderate,,,2026-05-03T02:36:58.317592
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.58,82.0,49.0,26.0,15.0,2.3,8.5,49,Good,,,2026-05-03T02:37:01.956201
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.49,82.0,1.0,26.0,19.0,4.3,7.1,26,Good,,,2026-05-03T02:37:05.764430
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.49,82.0,13.0,,7.8,2.3,12.1,13,Good,,,2026-05-03T02:37:09.318360
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,17.34,82.0,,,15.3,12.6,9.5,11,Good,,,2026-05-03T02:37:13.156451
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-05-03T02:37:16.957899
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-05-03T02:37:20.321099
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-05-03T02:37:23.769424
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,16.91,82.0,33.0,,17.9,4.5,,33,Good,,,2026-05-03T02:37:26.959540
