City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,26.6,58.0,79.0,146.0,,,,146,Poor,,,2026-07-18T02:03:39.607340
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,30.2,52.2,85.0,35.0,2.5,3.9,10.6,85,Moderate,,,2026-07-18T02:03:45.621986
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,30.2,52.2,84.0,42.0,2.7,6.0,5.5,84,Moderate,,,2026-07-18T02:03:48.609313
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,46.6,28.3,78.0,54.0,2.4,,28.5,78,Moderate,,,2026-07-18T02:03:53.817393
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,25.0,57.0,70.0,32.0,7.6,0.8,5.3,70,Moderate,,,2026-07-18T02:03:58.610841
"Irapuato Bomberos, Mexico",Mexico,21.118055555556,-101.60216666667,18.4,77.4,26.0,66.0,4.8,9.0,19.6,66,Moderate,,,2026-07-18T02:04:03.624890
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,30.2,52.2,65.0,54.0,4.6,5.6,4.7,65,Moderate,,,2026-07-18T02:04:08.613796
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,25.0,57.0,63.0,25.0,9.8,2.0,9.1,63,Moderate,,,2026-07-18T02:04:13.626516
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,25.0,57.0,63.0,19.0,6.7,3.5,4.4,63,Moderate,,,2026-07-18T02:04:16.614621
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,25.0,57.0,63.0,25.0,5.3,2.0,6.7,63,Moderate,,,2026-07-18T02:04:19.820423
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,25.0,57.0,63.0,26.0,8.4,2.0,4.2,63,Moderate,,,2026-07-18T02:04:22.627983
