City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,25.5,49.0,38.0,764.0,11.2,,,764,Hazardous,,,2026-07-04T02:32:04.430641
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,26.0,47.0,85.0,38.0,7.3,1.8,5.9,85,Moderate,,,2026-07-04T02:32:12.440192
"T-21, Mexico",Mexico,21.108664,-101.688614,23.0,53.0,77.0,33.0,,2.9,10.4,77,Moderate,,,2026-07-04T02:32:24.443008
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,23.4,54.2,76.0,28.0,0.1,0.1,0.5,76,Moderate,,,2026-07-04T02:32:29.625447
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,26.0,47.0,75.0,16.0,,,,75,Moderate,,,2026-07-04T02:32:33.444519
"Hospital General, Mexico",Mexico,20.947924,-101.425774,17.0,89.5,71.0,30.0,4.2,4.5,8.5,71,Moderate,,,2026-07-04T02:32:41.446039
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,32.7,49.0,70.0,46.0,7.5,6.8,7.0,70,Moderate,,,2026-07-04T02:32:44.628794
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-07-04T02:32:54.632256
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,83.0,9.0,,,,,-,,,,2026-07-04T02:33:01.453740
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-07-04T02:33:04.593024
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-07-04T02:33:07.637198
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,28.0,83.0,,,,,,-,,,,2026-07-04T02:33:12.459331
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-07-04T02:33:17.597498
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.0,70.7,68.0,13.0,7.3,1.1,5.3,68,Moderate,,,2026-07-04T02:33:53.399406
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,14.8,76.0,59.0,,,0.7,15.7,59,Moderate,,,2026-07-04T02:34:00.116061
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,69.0,55.0,13.0,4.4,1.1,,55,Moderate,,,2026-07-04T02:34:03.642686
