City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"T-21, Mexico",Mexico,21.108664,-101.688614,27.0,26.0,88.0,23.0,,,,88,Moderate,,,2026-08-18T00:58:06.090444
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,15.5,68.2,62.0,73.0,4.4,3.3,6.4,73,Moderate,,,2026-08-18T00:58:16.101325
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,25.0,61.0,72.0,22.0,19.1,2.6,15.0,72,Moderate,,,2026-08-18T00:58:19.964421
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,25.0,61.0,68.0,25.0,17.1,5.8,11.4,68,Moderate,,,2026-08-18T00:58:25.107178
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,25.0,61.0,68.0,33.0,16.1,6.6,6.5,68,Moderate,,,2026-08-18T00:58:29.990375
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,32.9,42.0,59.0,32.0,4.0,9.6,3.0,59,Moderate,,,2026-08-18T00:58:38.115446
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,26.1,40.0,57.0,15.0,,0.1,1.4,57,Moderate,,,2026-08-18T00:58:44.993447
"Tlaquepaque, Guadalajara, Mexico",Mexico,20.641445843732,-103.31262961377,25.0,61.0,,56.0,30.9,4.6,,56,Moderate,,,2026-08-18T00:58:48.116676
"San Juanico, Mexico",Mexico,20.537489,-100.839905,25.1,40.7,56.0,43.0,5.3,10.5,4.5,56,Moderate,,,2026-08-18T00:58:51.297133
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-08-18T00:58:59.117868
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,61.0,9.0,,,,,-,,,,2026-08-18T00:59:05.996364
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-08-18T00:59:09.901261
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-08-18T00:59:13.731009
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,28.2,69.2,,,,,,-,,,,2026-08-18T00:59:18.903011
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-08-18T00:59:23.736635
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.4,93.0,30.0,,,0.7,12.3,30,Good,,,2026-08-18T01:00:20.134009
