City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,27.2,69.0,87.0,48.0,6.9,7.6,3.7,87,Moderate,,,2026-07-24T02:20:30.734392
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,23.3,37.0,53.0,,10.5,3.1,6.5,79,Moderate,,,2026-07-24T02:20:35.453779
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,27.2,69.0,70.0,37.0,4.4,9.2,7.4,70,Moderate,,,2026-07-24T02:20:45.742180
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,27.2,69.0,65.0,32.0,8.4,9.5,13.3,65,Moderate,,,2026-07-24T02:20:55.743181
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,9.1,47.5,65.0,37.0,,5.8,9.7,65,Moderate,,,2026-07-24T02:20:59.462417
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,27.2,38.4,61.0,37.0,6.4,,,61,Moderate,,,2026-07-24T02:21:09.750185
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-07-24T02:21:17.751712
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,73.0,9.0,,,,,-,,,,2026-07-24T02:21:24.473303
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-07-24T02:21:27.754204
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-07-24T02:21:31.378241
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,88.6,,,,,,-,,,,2026-07-24T02:21:36.755500
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-07-24T02:21:41.482844
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,13.9,61.6,42.0,12.0,,,,42,Good,,,2026-07-24T02:22:34.781028
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.0,72.8,38.0,9.0,6.8,0.6,3.1,38,Good,,,2026-07-24T02:22:39.501633
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,14.3,76.0,34.0,,,0.7,11.8,34,Good,,,2026-07-24T02:22:42.788567
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,73.0,25.0,9.0,3.8,0.8,,25,Good,,,2026-07-24T02:22:51.506223
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.1,73.0,21.0,7.0,3.3,0.4,2.5,21,Good,,,2026-07-24T02:22:54.791908
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,12.7,73.0,13.0,19.0,5.6,0.2,2.4,19,Good,,,2026-07-24T02:22:58.443830
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,18.64,46.0,21.0,41.0,18.0,2.5,7.5,41,Good,,,2026-07-24T02:23:02.793884
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,18.64,82.0,37.0,,33.4,3.5,9.9,37,Good,,,2026-07-24T02:23:06.507775
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.15,82.0,30.0,22.0,24.3,3.6,5.3,30,Good,,,2026-07-24T02:23:09.449063
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,17.34,82.0,,,20.5,5.2,4.9,10,Good,,,2026-07-24T02:23:12.797689
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,18.72,30.0,56.0,,14.5,0.5,7.5,56,Moderate,,,2026-07-24T02:23:16.512983
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-07-24T02:23:19.451252
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-07-24T02:23:22.801244
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-07-24T02:23:26.515725
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,17.29,82.0,43.0,,21.0,3.0,,43,Good,,,2026-07-24T02:23:29.453347
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,14.63,82.0,43.0,22.0,15.2,3.1,6.6,43,Good,,,2026-07-24T02:23:34.812054
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,18.8,90.0,3.0,1.0,21.4,8.4,0.5,8,Good,,,2026-07-24T02:23:38.518527
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,18.8,90.0,83.0,61.0,25.2,5.8,6.5,83,Moderate,,,2026-07-24T02:23:41.456688
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,18.8,90.0,91.0,39.0,14.9,8.9,13.1,91,Moderate,,,2026-07-24T02:23:44.816595
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,18.8,90.0,81.0,35.0,16.7,6.1,6.7,81,Moderate,,,2026-07-24T02:23:48.522943
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,18.8,90.0,,35.0,14.2,6.8,13.3,35,Good,,,2026-07-24T02:23:51.815009
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,18.8,90.0,50.0,11.0,11.1,8.4,25.8,50,Good,,,2026-07-24T02:23:55.463821
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-07-24T02:23:58.524334
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-07-24T02:24:01.817703
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-07-24T02:24:05.467290
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,18.8,90.0,,,12.1,3.2,6.4,6,Good,,,2026-07-24T02:24:08.529893
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,18.8,90.0,70.0,,13.8,3.9,10.9,70,Moderate,,,2026-07-24T02:24:12.118893
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,33.8,46.275,98.0,49.0,4.5,2.5,,49,Good,,,2026-07-24T02:24:17.533778
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-07-24T02:24:20.824308
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-07-24T02:24:36.543638
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,,,2026-07-24T02:24:39.830895
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-07-24T02:24:43.479680
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,-1.0,92.0,231.0,111.0,,4.3,31.8,231,Poor,,,2026-07-24T02:25:26.495468
"Nueva Libertad, Chile",Chile,-36.735998,-73.118693,11.0,87.0,215.0,126.0,28.6,6.9,19.5,215,Poor,,,2026-07-24T02:25:29.565574
"Coyhaique, Chile",Chile,-45.57996447948,-72.061125987766,-1.0,92.0,194.0,96.0,,,,194,Poor,,,2026-07-24T02:25:33.142568
"Vialidad, Chile",Chile,-45.40680023471,-72.696259617805,-1.0,92.0,163.0,,,,,163,Poor,,,2026-07-24T02:25:41.498367
"Osorno, Chile",Chile,-40.584478665958,-73.11871982209,7.7,91.6,159.0,55.0,,,,159,Poor,,,2026-07-24T02:25:45.030772
"Punteras, Chile",Chile,-36.923329602986,-73.036132300941,11.0,87.0,157.0,59.0,14.2,1.4,,157,Poor,,,2026-07-24T02:25:48.147409
"Alerce, Chile",Chile,-41.399169537038,-72.899522781372,7.0,93.0,151.0,,,,,151,Poor,,,2026-07-24T02:25:54.422530
"Las Encinas Temuco, Chile",Chile,-38.74869912298,-72.620788228172,8.7,93.4,151.0,51.0,,,9.3,151,Poor,,,2026-07-24T02:25:58.128402
"Valdivia, Chile",Chile,-39.831316104673,-73.22851282209,7.0,100.0,139.0,53.0,,2.2,8.4,139,Poor,,,2026-07-24T02:26:06.131708
"Copiapo Sivica, Chile",Chile,-27.370329154948,-70.323906678352,16.0,72.0,,137.0,,1.8,,137,Poor,,,2026-07-24T02:26:09.170663
"Balneario Curanilahue, Chile",Chile,-37.485131692556,-73.331626473541,11.0,87.0,132.0,,,,,132,Poor,,,2026-07-24T02:26:12.590442
"Padre Las Casas II, Chile",Chile,-38.764767451719,-72.598795682209,8.7,93.4,119.0,53.0,14.3,,9.3,119,Poor,,,2026-07-24T02:26:16.426880
"Centenario, Buenos Aires, Argentina",Argentina,-34.635582,-58.5518647,12.0,93.0,,11.0,7.4,,3.5,-,,,,2026-07-24T02:26:22.172720
"Cordoba, Buenos Aires, Argentina",Argentina,-34.5995674,-58.3915767,10.5,96.0,,16.0,10.6,,9.5,-,,,,2026-07-24T02:26:25.595593
"La boca, Buenos Aires, Argentina",Argentina,-34.6344961,-58.3631337,12.0,90.7,,10.0,18.3,,1.7,-,,,,2026-07-24T02:26:28.878114
"US Embassy, Buenos Aires, Argentina",Argentina,-34.5773,-58.4176,25.0,72.9,5.0,,,,,5,Good,,,2026-07-24T02:26:34.134944
"Dock Sud 1, Acumar, Argentina",Argentina,-34.657988,-58.342538,23.8,65.3,,,,,,-,,,,2026-07-24T02:26:37.179537
