City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"San Juanico, Mexico",Mexico,20.537489,-100.839905,22.2,61.0,87.0,39.0,8.4,8.8,6.0,87,Moderate,,,2026-08-23T01:03:21.893703
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,15.6,100.0,85.0,47.0,8.1,2.8,4.7,85,Moderate,,,2026-08-23T01:03:24.844995
"Bomberos, Mexico",Mexico,20.67495,-101.355873,15.6,99.0,82.0,37.0,,4.6,,82,Moderate,,,2026-08-23T01:03:28.358972
"Irapuato Bomberos, Irapuato, Mexico",Mexico,20.674779695762,-101.35569204208,15.6,99.0,82.0,37.0,,,,82,Moderate,,,2026-08-23T01:03:31.893753
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,34.4,27.0,76.0,34.0,1.5,,10.2,76,Moderate,,,2026-08-23T01:03:34.845627
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,15.6,100.0,76.0,34.0,15.9,0.7,6.1,76,Moderate,,,2026-08-23T01:03:53.482115
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,19.1,70.0,70.0,29.0,,0.1,1.4,70,Moderate,,,2026-08-23T01:04:15.483387
"Nativitas, Salamanca, Mexico",Mexico,20.570367344035,-101.19007817525,15.6,99.0,,67.0,,,8.9,67,Moderate,,,2026-08-23T01:04:33.719593
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,15.6,100.0,66.0,20.0,8.9,2.8,5.3,66,Moderate,,,2026-08-23T01:04:53.721513
"T-21, Mexico",Mexico,21.108664,-101.688614,22.0,56.0,65.0,41.0,,,,65,Moderate,,,2026-08-23T01:04:56.946726
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,15.6,100.0,63.0,13.0,6.4,5.3,4.5,63,Moderate,,,2026-08-23T01:05:00.388238
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,15.6,100.0,62.0,17.0,,,,62,Moderate,,,2026-08-23T01:05:03.721948
"Irapuato Bomberos, Mexico",Mexico,21.118055555556,-101.60216666667,20.1,69.2,62.0,37.0,5.9,8.3,19.6,62,Moderate,,,2026-08-23T01:05:06.947630
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,28.8,25.0,61.0,46.0,5.0,,,61,Moderate,,,2026-08-23T01:05:39.724976
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,34.4,27.0,60.0,40.0,3.7,4.0,8.7,60,Moderate,,,2026-08-23T01:06:12.727640
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,34.4,27.0,55.0,35.0,2.2,7.8,7.7,55,Moderate,,,2026-08-23T01:06:47.730359
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-08-23T01:07:24.924990
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,22.7,96.2,9.0,,,,,-,,,,2026-08-23T01:08:00.928429
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-08-23T01:08:33.932864
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-08-23T01:09:06.938376
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.7,96.2,,,,,,-,,,,2026-08-23T01:09:41.742752
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-08-23T01:10:15.744927
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.2,68.3,73.0,14.0,11.0,0.9,6.9,73,Moderate,,,2026-08-23T01:11:18.960952
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.9,82.0,50.0,,,1.1,17.6,50,Good,,,2026-08-23T01:12:10.968384
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.7,57.7,38.0,15.0,,,,38,Good,,,2026-08-23T01:12:47.534172
